Student_ID,Gender,Age,Study_Hours,Attendance,Math_Score,Science_Score,English_Score,Computer_Score,Assignment_Score,Previous_Score,Final_Score
STU001,Male,21,5.4,84.5,36.3,41.7,32.4,43.8,87.2,65.2,73.3
STU002,Male,18,4.3,85.5,41.4,23.5,26.3,34.7,89.2,63.1,64.3
STU003,Female,18,5.7,75.2,32.7,46.4,35.8,44.8,93.3,77.3,77.4
STU004,Female,18,7.2,84.3,51.4,57.5,56.7,61.5,100.0,83.9,94.7
STU005,Female,19,4.1,84.9,30.2,36.2,29.8,40.0,81.4,66.5,67.0
STU006,Male,19,4.1,74.9,26.7,47.9,53.5,37.4,77.0,65.8,67.2
STU007,Male,20,7.3,100.0,51.5,43.4,57.9,45.5,100.0,92.4,90.8
STU008,Male,18,5.9,86.7,31.4,26.5,43.0,49.7,100.0,69.5,73.1
STU009,Female,21,3.7,70.1,27.5,20.0,27.9,41.1,81.8,66.8,54.5
STU010,Male,21,5.5,88.6,30.1,51.2,46.6,61.0,90.9,71.3,87.6
STU011,Female,18,3.7,72.3,45.9,34.1,28.2,31.7,84.2,61.1,56.8
STU012,Male,18,3.7,89.9,37.4,34.6,40.0,42.9,65.0,74.8,65.5
STU013,Female,18,4.9,93.6,35.7,41.9,61.3,47.3,,78.1,76.7
STU014,Female,19,1.1,73.8,25.7,20.0,25.3,40.6,54.2,59.2,53.2
STU015,Male,19,1.4,91.6,28.8,49.7,39.7,32.9,71.5,67.5,58.8
STU016,Male,19,3.5,86.1,30.9,31.8,29.8,38.9,74.8,64.7,69.7
STU017,Female,22,2.7,90.2,37.3,31.4,34.1,41.3,71.0,67.5,60.1
STU018,Female,21,5.1,100.0,46.1,44.6,54.4,45.5,100.0,70.9,81.9
STU019,Male,21,2.9,79.5,25.9,32.5,27.8,30.6,74.1,63.5,54.6
STU020,Male,20,2.0,74.5,20.1,24.7,39.4,30.3,73.5,55.4,62.9
STU021,Female,19,7.1,73.1,41.2,34.3,50.4,56.0,95.8,77.3,77.1
STU022,Male,22,4.1,73.8,20.0,36.4,32.2,30.0,84.7,69.4,65.8
STU023,Female,22,4.6,81.2,21.3,48.3,39.8,38.5,87.0,61.5,70.7
STU024,Female,21,1.9,85.4,43.5,42.7,41.4,31.0,65.4,74.7,65.4
STU025,Male,19,3.5,84.8,42.7,41.9,35.9,43.1,89.2,56.2,64.6
STU026,Male,20,4.7,90.3,32.3,27.7,25.3,26.1,86.6,60.3,65.0
STU027,Male,19,2.4,82.1,35.8,20.2,28.1,30.7,64.8,68.6,58.4
STU028,Male,18,5.2,96.5,45.3,39.7,43.1,49.9,91.8,79.5,80.2
STU029,Male,19,3.4,79.4,57.4,31.3,34.3,49.3,90.3,67.9,74.0
STU030,Female,18,4.0,100.0,47.7,46.5,45.0,42.2,96.0,74.0,88.0
STU031,Female,18,3.4,88.3,31.6,20.0,35.9,32.2,80.5,64.4,59.9
STU032,Male,20,7.8,73.4,35.6,55.0,35.9,62.3,97.2,72.2,77.8
STU033,Male,21,4.5,71.3,20.8,30.3,38.4,26.1,80.2,66.4,62.9
STU034,Male,19,2.6,86.8,29.2,21.8,33.9,20.0,92.9,55.6,70.1
STU035,Female,18,6.0,79.8,37.1,32.1,49.1,50.7,95.6,81.2,76.5
STU036,Male,19,2.3,89.1,20.0,20.0,38.0,28.4,80.7,59.1,64.5
STU037,Male,21,4.9,86.7,30.3,40.9,43.3,31.3,97.1,63.6,79.2
STU038,Female,21,1.0,81.3,20.0,20.5,27.1,31.5,70.1,51.1,44.5
STU039,Female,22,2.1,73.5,39.9,20.0,27.9,32.4,69.4,59.9,57.3
STU040,Male,21,4.9,66.9,39.6,20.0,22.9,32.0,81.5,62.1,71.4
STU041,Male,20,5.8,77.5,37.0,32.0,42.0,30.8,90.6,65.6,69.9
STU042,Male,18,4.8,90.6,50.6,51.8,42.3,49.8,90.4,72.5,77.4
STU043,Female,22,4.3,84.1,36.4,31.5,39.7,45.0,91.0,69.3,67.7
STU044,Male,20,4.0,69.5,23.1,20.0,23.0,33.2,79.7,59.5,53.1
STU045,Male,19,1.8,83.7,36.9,20.5,20.0,43.5,78.4,53.5,51.0
STU046,Male,18,3.2,85.9,36.4,27.7,41.5,27.6,80.5,65.1,57.2
STU047,Female,21,3.7,73.2,20.0,20.0,28.6,20.0,79.7,51.4,54.3
STU048,Female,18,6.4,,37.1,36.2,45.4,37.1,82.2,64.4,70.8
STU049,Male,19,5.1,82.6,28.7,31.6,37.9,39.3,95.8,64.5,71.4
STU050,Male,22,1.3,70.6,20.0,25.5,23.5,27.2,68.6,51.2,38.5
STU051,Female,22,5.1,85.6,46.6,53.8,47.7,41.2,97.4,73.3,80.4
STU052,Female,22,3.8,87.6,53.4,46.2,36.5,44.9,64.4,77.8,76.9
STU053,Female,21,3.3,92.8,24.3,31.1,38.2,29.5,98.6,71.8,57.3
STU054,Female,20,5.6,92.5,45.4,28.9,39.7,56.5,94.4,72.8,81.0
STU055,Female,20,6.4,68.2,34.5,60.9,38.7,43.1,98.6,72.7,84.9
STU056,Female,18,6.2,72.6,33.1,35.6,36.9,50.0,84.1,64.8,66.8
